"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"JAPAN","Choshi","47648","","1961-1990","","Mean Daily Value","MJ/m2","8.3","","9.8","","12.0","","15.1","","17.4","","15.3","","16.7","","17.8","","12.6","","10.0","","7.8","","7.6","","12.6","","-9999.9","1"
"JAPAN","Omaezaki","47655","","1961-1990","","Mean Daily Value","MJ/m2","10.2","","12.0","","13.9","","16.2","","18.4","","16.7","","18.2","","18.9","","14.3","","11.6","","9.4","","9.1","","14.1","","-9999.9","1"
"JAPAN","Shizuoka","47656","","1961-1990","","Mean Daily Value","MJ/m2","10.0","","11.6","","13.4","","15.6","","17.6","","15.6","","16.3","","17.1","","13.1","","11.2","","9.3","","8.7","","13.3","","-9999.9","1"
"JAPAN","Tokyo","47662","","1961-1990","","Mean Daily Value","MJ/m2","8.5","","9.9","","11.7","","14.3","","16.0","","13.6","","13.9","","14.6","","10.4","","9.4","","7.6","","7.4","","11.4","","-9999.9","1"
"JAPAN","Muroran","47423","","1961-1990","","Mean Daily Value","MJ/m2","5.6","","8.9","","13.4","","16.2","","18.5","","17.3","","16.1","","14.7","","13.5","","10.7","","6.3","","4.6","","12.2","","-9999.9","1"
"JAPAN","Urakawa","47426","","1961-1990","","Mean Daily Value","MJ/m2","6.7","","10.2","","13.8","","15.9","","18.6","","17.2","","15.4","","15.3","","13.6","","10.7","","6.4","","5.1","","12.4","","-9999.9","1"
"JAPAN","Hakodate","47430","","1961-1990","","Mean Daily Value","MJ/m2","6.5","","9.3","","12.5","","15.1","","17.3","","17.0","","15.7","","14.4","","12.0","","9.8","","6.2","","5.0","","11.7","","-9999.9","1"
"JAPAN","Aomori","47575","","1961-1990","","Mean Daily Value","MJ/m2","5.4","","8.0","","12.1","","15.3","","17.9","","18.4","","17.4","","16.5","","13.1","","9.9","","5.8","","4.3","","12.0","","-9999.9","1"
"JAPAN","Hachinohe","47581","","1961-1990","","Mean Daily Value","MJ/m2","7.2","","9.4","","13.0","","16.1","","18.1","","17.5","","16.9","","15.9","","12.4","","10.5","","7.3","","6.1","","12.5","","-9999.9","1"
"JAPAN","Akita","47582","","1961-1990","","Mean Daily Value","MJ/m2","4.7","","7.4","","11.7","","15.2","","17.1","","17.6","","16.7","","17.1","","13.1","","10.0","","5.8","","3.9","","11.7","","-9999.9","1"
"JAPAN","Morioka","47584","","1961-1990","","Mean Daily Value","MJ/m2","7.1","","9.8","","12.9","","15.1","","17.4","","16.3","","15.4","","15.0","","11.6","","9.7","","6.7","","5.5","","11.9","","-9999.9","1"
"JAPAN","Miyako","47585","","1961-1990","","Mean Daily Value","MJ/m2","8.1","","10.1","","13.4","","15.9","","17.6","","16.4","","16.3","","15.6","","12.0","","10.5","","7.9","","6.9","","12.5","","-9999.9","1"
"JAPAN","Sakata","47587","","1961-1990","","Mean Daily Value","MJ/m2","5.1","","7.6","","11.4","","15.7","","18.0","","18.0","","17.3","","17.8","","13.3","","10.1","","5.9","","4.1","","12.0","","-9999.9","1"
"JAPAN","Yamagata","47588","","1961-1990","","Mean Daily Value","MJ/m2","6.8","","9.2","","12.5","","15.9","","18.2","","17.1","","16.4","","16.6","","12.1","","9.6","","6.5","","5.6","","12.2","","-9999.9","1"
"JAPAN","Wakkanai","47401","","1961-1990","","Mean Daily Value","MJ/m2","4.1","","7.5","","12.0","","14.7","","17.0","","17.9","","17.2","","14.5","","13.2","","8.2","","4.3","","3.0","","11.2","","-9999.9","1"
"JAPAN","Kitamiesashi","47402","","1961-1990","","Mean Daily Value","MJ/m2","5.4","","9.2","","12.6","","15.3","","17.1","","16.8","","16.3","","14.1","","12.9","","9.0","","5.4","","4.3","","11.5","","-9999.9","1"
"JAPAN","Rumoi","47406","","1961-1990","","Mean Daily Value","MJ/m2","4.3","","7.4","","11.9","","15.1","","17.7","","18.8","","18.1","","16.3","","13.5","","8.6","","4.2","","3.2","","11.6","","-9999.9","1"
"JAPAN","Asahikawa","47407","","1961-1990","","Mean Daily Value","MJ/m2","5.5","","8.7","","12.7","","14.8","","17.2","","18.3","","17.7","","15.2","","12.3","","8.4","","5.0","","4.3","","11.7","","-9999.9","1"
"JAPAN","Abashiri","47409","","1961-1990","","Mean Daily Value","MJ/m2","6.1","","10.1","","14.0","","15.8","","17.2","","18.3","","18.7","","15.7","","13.2","","9.6","","6.1","","4.9","","12.5","","-9999.9","1"
"JAPAN","Sapporo","47412","","1961-1990","","Mean Daily Value","MJ/m2","5.9","","8.7","","12.3","","15.0","","17.6","","18.5","","17.2","","15.3","","12.7","","9.4","","5.8","","4.8","","11.9","","-9999.9","1"
"JAPAN","Obihiro","47417","","1961-1990","","Mean Daily Value","MJ/m2","7.6","","11.2","","14.9","","16.7","","18.3","","16.7","","15.1","","14.0","","12.3","","10.5","","7.2","","6.1","","12.5","","-9999.9","1"
"JAPAN","Nemuro","47420","","1961-1990","","Mean Daily Value","MJ/m2","7.2","","10.7","","14.3","","15.8","","17.7","","17.3","","16.4","","14.9","","12.8","","10.3","","7.0","","5.7","","12.5","","-9999.9","1"
"JAPAN","Suttsu","47421","","1961-1990","","Mean Daily Value","MJ/m2","3.8","","6.3","","11.5","","15.8","","18.3","","18.9","","17.8","","16.0","","13.7","","9.1","","4.7","","3.2","","11.6","","-9999.9","1"
"JAPAN (ANTARCTIC STATIONS)","Syowa","89532","","1961-1990","","Mean Daily Value","MJ/m2","26.7","","16.2","","7.7","","2.3","",".2","",".0","","-9797.9","2","1.5","","6.5","","15.1","","24.8","","30.8","","11.0","","-9999.9","1"
"NETHERLANDS","VLISSINGEN","6310","","1964-1990","","Mean Monthly Value","MJ/m2","77.74","","144.08","","271.94","","416.47","","557.88","","577.47","","567.55","","492.22","","332.60","","202.88","","96.97","","59.41","","797.20","","-9999.9","1"
"NETHERLANDS","MAASTRICHT","6380","","1965-1990","","Mean Monthly Value","MJ/m2","76.59","","142.04","","254.37","","390.60","","528.87","","521.29","","528.47","","462.30","","319.52","","202.46","","96.82","","59.53","","582.86","","-9999.9","1"
"NETHERLANDS","DE KOOY","6235","","1965-1990","","Mean Monthly Value","MJ/m2","69.21","","138.74","","281.84","","432.64","","592.14","","601.88","","575.98","","494.80","","322.73","","186.92","","85.77","","52.02","","834.67","","-9999.9","1"
"NETHERLANDS","DE BILT","6260","","1961-1990","","Mean Monthly Value","MJ/m2","69.67","","134.73","","246.38","","387.52","","521.88","","535.88","","516.71","","455.81","","307.69","","188.36","","84.77","","54.80","","504.19","","-9999.9","1"
"NETHERLANDS","EELDE","6280","","1965-1990","","Mean Monthly Value","MJ/m2","64.02","","128.89","","246.04","","396.84","","528.96","","538.50","","524.67","","466.59","","305.61","","179.27","","83.32","","47.56","","510.27","","-9999.9","1"
"QATAR","DOHA INTERNATIONAL AIRPORT","41170","","1976-1992","","Mean Daily Value","MJ/m2","13.56","","15.80","","17.62","","20.78","","22.41","","23.30","","21.82","","21.13","","19.73","","17.39","","14.97","","12.56","","18.42","","-9999.9","1"
"QATAR","DOHA INTERNATIONAL AIRPORT","41170","","1976-1992","","Mean Monthly Value","MJ/m2","376.75","","439.15","","489.77","","577.48","","622.69","","647.53","","606.30","","587.21","","548.20","","483.20","","415.94","","348.94","","511.93","","-9999.9","1"
"VENEZUELA","Coro","80403","","1961-1990","","Mean Daily Value","MJ/m2","19.67","","21.93","","23.49","","22.62","","22.11","","22.14","","22.41","","23.32","","22.42","","20.16","","18.82","","18.10","","21.43","","-9999.9","1"
"VENEZUELA","Maracaibo","80407","","1961-1990","","Mean Daily Value","MJ/m2","15.47","","16.70","","17.56","","16.17","","15.33","","16.27","","17.37","","17.19","","16.02","","14.71","","13.98","","14.29","","15.92","","-9999.9","1"
"VENEZUELA","Barquisimeto","80410","","1961-1990","","Mean Daily Value","MJ/m2","19.06","","20.34","","20.72","","18.69","","18.94","","19.94","","20.90","","21.06","","20.49","","18.97","","17.82","","17.84","","19.56","","-9999.9","1"
"VENEZUELA","Maracay","80413","","1961-1990","","Mean Daily Value","MJ/m2","16.53","","18.04","","19.17","","17.81","","16.78","","16.89","","17.22","","17.81","","18.09","","17.19","","16.26","","15.72","","17.29","","-9999.9","1"
"VENEZUELA","Maiquetia","80415","","1961-1990","","Mean Daily Value","MJ/m2","17.67","","19.89","","21.51","","20.31","","19.49","","20.41","","20.71","","20.80","","20.25","","17.90","","16.10","","16.11","","19.26","","-9999.9","1"
"VENEZUELA","Caracas-La Carlota","80416","","1964-1990","","Mean Daily Value","MJ/m2","15.29","","16.70","","17.94","","16.76","","16.22","","16.63","","17.45","","17.94","","17.46","","15.99","","14.69","","14.18","","16.44","","-9999.9","1"
"VENEZUELA","Barcelona","80419","","1961-1990","","Mean Daily Value","MJ/m2","17.20","","18.83","","20.32","","19.83","","19.02","","17.39","","17.68","","18.15","","18.46","","17.52","","16.28","","16.13","","18.07","","-9999.9","1"
"VENEZUELA","Guiria","80423","","1961-1990","","Mean Daily Value","MJ/m2","16.51","","18.92","","20.59","","21.29","","19.80","","17.98","","18.92","","19.16","","19.79","","17.93","","15.81","","14.87","","18.46","","-9999.9","1"
"VENEZUELA","Mene Grande","80425","","1961-1990","","Mean Daily Value","MJ/m2","15.18","","16.26","","16.42","","15.24","","15.87","","16.68","","17.23","","17.22","","17.08","","15.47","","14.57","","14.29","","15.96","","-9999.9","1"
"VENEZUELA","Acarigua","80427","","1971-1990","","Mean Daily Value","MJ/m2","17.63","","18.91","","19.25","","16.60","","15.95","","16.48","","17.58","","18.16","","17.93","","17.12","","16.28","","16.34","","17.35","","-9999.9","1"
"VENEZUELA","Guanare","80428","","1971-1990","","Mean Daily Value","MJ/m2","16.23","","16.92","","16.81","","14.88","","15.38","","15.75","","16.71","","17.87","","17.70","","16.86","","15.80","","15.32","","16.35","","-9999.9","1"
"VENEZUELA","Maturin","80435","","1961-1990","","Mean Daily Value","MJ/m2","15.86","","17.00","","18.07","","17.63","","16.88","","15.56","","15.98","","16.59","","17.13","","16.47","","15.14","","14.81","","16.43","","-9999.9","1"
"VENEZUELA","Merida","80438","","1961-1990","","Mean Daily Value","MJ/m2","18.99","","19.89","","19.91","","18.44","","18.13","","17.48","","18.64","","19.39","","19.46","","17.92","","17.21","","17.72","","18.60","","-9999.9","1"
"VENEZUELA","Ciudad Bolivar","80444","","1961-1990","","Mean Daily Value","MJ/m2","16.02","","17.54","","18.75","","18.39","","17.26","","16.51","","17.34","","17.87","","17.93","","16.82","","15.58","","15.01","","17.09","","-9999.9","1"
"VENEZUELA","San Antonio del Tachira","80447","","1961-1990","","Mean Daily Value","MJ/m2","13.99","","14.74","","14.57","","14.35","","15.89","","15.45","","16.48","","17.29","","17.34","","16.02","","13.93","","13.21","","15.27","","-9999.9","1"
"VENEZUELA","Guasdualito","80448","","1971-1990","","Mean Daily Value","MJ/m2","18.18","","19.21","","18.23","","16.48","","15.53","","15.14","","15.74","","16.73","","17.68","","17.20","","16.67","","17.18","","17.00","","-9999.9","1"
"VENEZUELA","San Fernando de Apure","80450","","1961-1990","","Mean Daily Value","MJ/m2","18.32","","20.13","","21.10","","19.63","","18.21","","16.92","","17.35","","17.83","","18.99","","19.04","","18.11","","17.78","","18.62","","-9999.9","1"
"VENEZUELA","Tumeremo","80453","","1961-1990","","Mean Daily Value","MJ/m2","14.83","","16.58","","17.03","","17.01","","16.50","","15.70","","16.96","","18.12","","18.80","","17.14","","15.21","","14.08","","16.50","","-9999.9","1"
"VENEZUELA","Puerto Ayacucho","80457","","1961-1990","","Mean Daily Value","MJ/m2","15.68","","16.73","","16.62","","14.94","","13.82","","12.91","","13.51","","14.11","","15.09","","15.15","","15.08","","14.97","","14.88","","-9999.9","1"
"VENEZUELA","Santa Elena de Uairen","80462","","1961-1990","","Mean Daily Value","MJ/m2","16.63","","17.67","","17.96","","17.30","","16.50","","15.92","","16.62","","17.90","","19.02","","18.30","","16.69","","15.92","","17.20","","-9999.9","1"

"footnoteSeqID","Footnote"
"1","code for missing value"
"2","code for value > 0.0 but < the smallest unit at the archived precision"
